Class name,Method name,Return type,Parameters,,
class ga.SampleClass,setMemberAge,void,long
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,0.0,1.352737964278375,2.01,2.0,"[[602635652], [61543254], [65649], [7523], [86738], [633], [2470], [814], [137610487], [30227504]]"
1,0.0,1.252996408614167,2.7,3.0,"[[300610], [635738465], [109183096], [0], [6452339], [225669963], [732334947], [93725], [346808165], [3341]]"
2,0.0,1.4342593907658407,3.27,4.0,"[[91181], [53010], [17664], [16], [222884647], [95000484], [57467], [623615], [90709], [640]]"
3,2.0,1.2142487389328431,4.16,5.0,"[[67], [12093593], [2], [8448099], [341856], [25881], [2069], [4481875], [719554480], [99467]]"
4,2.0,1.2929037087115194,4.78,6.0,"[[67], [12093593], [2], [8448099], [341856], [25881], [7079], [2069], [719554480], [99467]]"
5,2.0,1.2074352984735879,5.39,6.0,"[[723401], [925], [7875509], [47535], [797], [6881480], [69], [53], [96022], [18552]]"
6,2.0,1.2763620176109916,6.03,7.0,"[[968962], [94516559], [1], [680], [34859], [84321549], [5210], [27979774], [716746], [7]]"
7,4.0,1.1874342087037917,6.7,8.0,"[[137940], [8263254], [26], [49], [6772749], [31], [486990837], [6913], [7], [247660]]"
8,4.0,1.1019981851164724,7.16,9.0,"[[7], [96], [959], [19], [482192], [79131150], [60855], [69], [35], [4472]]"
9,5.0,1.0281536850101742,7.77,10.0,"[[39], [635738465], [117], [427], [109183096], [13], [490], [55], [62], [31]]"
10,6.0,0.8349251463454677,8.23,10.0,"[[96], [635738465], [109183096], [6772749], [60], [69], [53], [37892], [55], [97]]"
11,7.0,0.813080561814141,8.67,11.0,"[[4], [117], [96], [38], [6772749], [94], [6993690], [60855], [59], [21]]"
12,7.0,0.775822144566652,9.09,12.0,"[[95], [2], [28], [8], [6413303], [6993690], [48396971], [59], [69], [63]]"
13,7.0,0.6689544080129834,9.45,13.0,"[[1], [19], [60], [1841975], [38], [1], [1], [6], [62], [372]]"
14,9.0,0.44395945760846306,9.73,14.0,"[[97], [96], [9], [48396971], [7], [6], [31], [53], [8], [39]]"
15,9.0,0.3363034344160041,9.87,14.0,"[[6993690], [38], [96], [43], [117], [3], [21], [60], [31], [7]]"
16,9.0,0.17058722109232027,9.97,15.0,"[[97], [38], [96], [6], [8], [94], [4], [1841975], [1], [2]]"
17,9.0,0.09949874371066196,9.99,16.0,"[[4], [96], [8], [53], [31], [96], [48396971], [48], [31], [7]]"
18,10.0,0.0,10.0,17.0,"[[8], [28], [46], [2], [96], [9], [60], [97], [1], [38]]"
