Class name,Method name,Return type,Parameters,,
class ga.SampleClass,calculateScore,int,"char, char"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,8.0,0.5346961754117939,9.71,3.0,"[[L, b], [j, j], [J, k], [k, E], [k, h], [j, d], [J, J], [J, j], [B, j], [t, C]]"
1,8.0,0.31921779399024836,9.91,5.0,"[[A, C], [c, P], [F, L], [H, H], [a, J], [J, D], [H, H], [t, C], [M, E], [F, M]]"
2,9.0,0.17058722109232027,9.97,6.0,"[[O, j], [N, c], [L, m], [h, h], [E, j], [J, Y], [d, k], [k, a], [V, D], [J, L]]"
3,9.0,0.09949874371066196,9.99,8.0,"[[O, j], [N, c], [h, h], [L, m], [d, k], [J, Y], [E, j], [k, a], [m, a], [J, L]]"
4,10.0,0.0,10.0,9.0,"[[c, M], [C, a], [f, C], [C, j], [a, b], [L, K], [i, M], [D, a], [c, C], [c, D]]"
