Class name,Method name,Return type,Parameters,,
class ga.SampleClass,setMemberAge,void,long
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,0.0,1.2781236246936367,2.08,2.0,"[[25821], [3002], [365], [68202], [241324060], [204], [641602], [0], [0], [146120]]"
1,1.0,1.1889491158161483,2.92,3.0,"[[26522556], [84649], [397888], [102], [313453], [396], [15], [876867], [226532016], [158483]]"
2,1.0,1.3315780112332882,3.37,4.0,"[[393437], [2898902], [343168074], [102], [603], [313453], [702598919], [3669734], [6329789], [71155031]]"
3,1.0,1.4286707108357755,4.17,5.0,"[[50268386], [992], [1578], [799891], [9], [8516], [15], [1198877], [77759], [1671]]"
4,1.0,1.4413882197381807,4.68,6.0,"[[84649], [50268386], [313453], [4714996], [74734], [863], [655546175], [1], [758], [886155794]]"
5,2.0,1.2435433245367846,5.44,6.0,"[[6171], [0], [57779], [799891], [175654687], [67], [67458990], [7], [885], [4885085]]"
6,3.0,1.1855800268223144,5.88,7.0,"[[83], [148424], [43287064], [175654687], [799891], [67], [67458990], [7], [885], [3581]]"
7,3.0,1.161507640956357,6.47,8.0,"[[72267767], [80552], [1975541], [6], [8], [9], [748], [77759], [1198877], [4885085]]"
8,4.0,0.9096702699330121,6.95,9.0,"[[525964599], [504], [6], [799891], [67458990], [4], [9], [422], [748], [3]]"
9,5.0,0.9486832980505134,7.2,10.0,"[[525964599], [504], [7], [95], [67458990], [9], [4], [422], [748], [3]]"
10,5.0,0.9017205775626947,7.63,10.0,"[[504], [649794740], [6], [61], [11992544], [67], [9], [9188453], [4], [65845076]]"
11,6.0,0.8179853299418036,7.97,11.0,"[[422], [1975541], [8], [6], [67], [9], [4], [885], [3820537], [9]]"
12,6.0,0.8219489035213802,8.38,12.0,"[[798], [148424], [6], [95], [649794740], [9], [35334919], [6], [4], [9]]"
13,7.0,0.8491760712596649,8.67,13.0,"[[649794740], [9798], [61], [44], [53], [422], [64], [9], [4], [43]]"
14,7.0,0.7280109889280528,9.1,14.0,"[[1975541], [5], [649794740], [67], [43], [64], [422], [9], [4], [27]]"
15,8.0,0.655438784326958,9.48,15.0,"[[148424], [6], [43], [7], [43], [67], [9], [844525], [64], [34]]"
16,8.0,0.48692915295759487,9.77,15.0,"[[798], [7], [9798], [6], [43], [34], [67], [9], [7], [43]]"
17,9.0,0.21794494717703436,9.95,16.0,"[[3], [6], [67], [7], [148424], [61], [64], [20], [7], [34]]"
18,9.0,0.09949874371066196,9.99,17.0,"[[43], [61], [7], [43], [61], [6], [4], [9], [6], [798]]"
19,10.0,0.0,10.0,18.0,"[[27], [9], [7], [95], [59], [43], [64], [7], [34], [6]]"
