Class name,Method name,Return type,Parameters,,
class ga.SampleClass,setMemberAge,void,long
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,0.0,1.1045361017187258,2.2,3.0,"[[4112], [54194018], [59717368], [93015473], [282], [7777221], [87120628], [601], [6589], [47776]]"
1,0.0,1.4358272876638052,2.72,4.0,"[[2300723], [281], [83334], [777], [982], [13], [4412072], [63905375], [604890], [2110889]]"
2,0.0,1.3164725595317208,3.37,5.0,"[[500891014], [8121256], [16836], [0], [565094], [39869], [4982], [191621046], [2509012], [499]]"
3,1.0,1.2092973166264773,4.24,7.0,"[[4255], [8262073], [79245], [3687163], [1], [64016796], [2401619], [446254], [316], [291519]]"
4,2.0,1.2806248474865705,4.8,9.0,"[[1553], [3687163], [8262073], [79245], [9428], [62626216], [42], [6], [9256057], [8345545]]"
5,2.0,1.2268251709188231,5.43,11.0,"[[976392488], [20], [94955759], [6947389], [885785], [5504], [8506], [335537], [358], [98]]"
6,3.0,1.1135528725660049,6.2,12.0,"[[6567377], [24887], [314456357], [403990821], [5], [3558727], [7], [9299], [9], [8506]]"
7,4.0,1.1258330249197708,6.65,13.0,"[[71909538], [56], [2], [9], [70819], [714], [66], [8506], [91105], [524446]]"
8,4.0,1.0005498488331301,7.17,14.0,"[[23], [155], [2], [52575950], [777], [5504], [4], [8506], [71], [500891014]]"
9,5.0,1.0313098467482993,7.58,16.0,"[[23], [3492], [5], [80], [4], [7325], [7797], [66], [6740487], [7685576]]"
10,6.0,1.0081666528902848,8.06,17.0,"[[9], [2], [6972351], [4], [885785], [336237], [2], [1207747], [71], [2]]"
11,6.0,0.95807097858144,8.39,18.0,"[[6567377], [40], [7], [5], [339112], [336237], [2], [71], [56], [1207747]]"
12,7.0,0.8720091742636642,8.86,20.0,"[[40], [3492], [5], [565094], [9], [7], [2], [71], [8042], [74]]"
13,7.0,0.7124605252222751,9.18,22.0,"[[56], [79312], [71909538], [5], [4], [7], [62], [8042], [75], [57]]"
14,7.0,0.6974238309665081,9.44,23.0,"[[82], [6740487], [80], [7325], [1], [66], [5], [1207747], [74], [56]]"
15,8.0,0.4472135954999573,9.8,24.0,"[[75], [5], [9], [20], [1], [7325], [36], [57], [8042], [40]]"
16,8.0,0.2764054992217058,9.94,26.0,"[[75], [5], [20], [9], [1], [7325], [36], [7], [8042], [40]]"
17,10.0,0.0,10.0,27.0,"[[82], [80], [36], [7], [1], [5], [20], [66], [7], [8]]"
