Class name,Method name,Return type,Parameters,,
class ga.SampleClass,setMemberAge,void,long
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,0.0,1.3268006632497578,2.14,6.0,"[[955969], [165146023], [818], [346203], [422823], [9717], [770280], [290267], [9532227], [243272368]]"
1,0.0,1.2757742747053635,2.82,7.0,"[[7086239], [2689], [46688], [94537403], [365813392], [5273], [4216934], [14270], [493397], [21175074]]"
2,1.0,1.1269427669584644,3.5,9.0,"[[4185451], [4546214], [8328], [5], [4117951], [5687374], [8815], [211], [68673044], [119702]]"
3,1.0,1.2124355652982148,4.1,10.0,"[[897], [811879871], [7718876], [86881298], [1], [778540829], [6563424], [158], [48553], [0]]"
4,2.0,1.1391224692718525,4.68,11.0,"[[406381], [1], [3248], [21], [1504295], [676], [3829091], [659368001], [0], [62263060]]"
5,2.0,1.1947803145348521,5.35,13.0,"[[28616], [54], [1464479], [401060], [5334822], [387382], [48553], [546], [26], [8085]]"
6,4.0,0.9597395480024771,6.17,14.0,"[[6991042], [94], [60], [1162], [5], [95590], [12854], [59], [34855], [8085]]"
7,3.0,1.0409610943738483,6.58,15.0,"[[41723], [9187637], [533], [9], [623831934], [553485756], [8], [110], [659368001], [699201988]]"
8,5.0,1.101408189546455,7.13,17.0,"[[34855], [451117], [84], [401060], [5], [8], [55471], [7], [8085], [94]]"
9,5.0,0.9042123644365861,7.68,18.0,"[[6991042], [6862719], [6], [5], [95590], [59], [1], [401060], [94], [8085]]"
10,6.0,0.8749857141690944,8.12,19.0,"[[401060], [6], [377160], [1], [6862719], [1], [5], [6153], [22], [59]]"
11,7.0,0.7906326580656781,8.57,21.0,"[[401060], [8085], [6862719], [5], [2], [1], [66], [94], [59], [52]]"
12,7.0,0.7628237017817413,8.91,22.0,"[[8085], [5], [29], [401060], [553485756], [5], [4], [7], [52], [94]]"
13,7.0,0.7123903424387503,9.25,23.0,"[[8085], [92], [58855936], [5], [318596875], [4], [94], [7], [66], [10]]"
14,8.0,0.5225897052181576,9.63,25.0,"[[6563424], [50], [9], [2], [4], [1], [5], [50], [6153], [5]]"
15,8.0,0.4377213725647864,9.78,26.0,"[[50], [6], [8085], [6862719], [7], [94], [5], [1], [1], [5]]"
16,9.0,0.21794494717703436,9.95,28.0,"[[6], [10], [6862719], [5], [3], [59], [94], [50], [1], [7]]"
17,10.0,0.0,10.0,30.0,"[[5], [9], [94], [7], [7], [2], [66], [6], [50], [1]]"
