Iteration,Total Time(Second),Algorithm(Second), I/O(Second)
1,5,3.314,1.686
2,5,2.50,2.5
3,6,3.57,2.43
4,6,3.572,2.428
5,3,0.817,2.183
6,4,1.53,2.47
7,6,3.2770,2.723
8,5,2.456,2.544
9,3,0.994,2.006
10,4,1.678,2.322
Average,4.7,2.370,2.329
